date,ticker,adj_close,ret_1d,log_ret_1d,Volume,filed,Assets,Liabilities,StockholdersEquity,Revenues,NetIncomeLoss,OperatingIncomeLoss,EarningsPerShareBasic,CommonStockSharesOutstanding
2025-11-11,GOOG,291.5497741699219,0.0039575049780136,0.0039496946546689,14156700,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-12,GOOG,287.2425842285156,-0.0147734291808984,-0.0148836431247098,16998800,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-13,GOOG,278.9380187988281,-0.0289113309991697,-0.0293374976603546,18060200,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-14,GOOG,276.7994079589844,-0.0076669750830421,-0.0076965174336877,18330500,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-17,GOOG,285.4137878417969,0.0311213811703274,0.0306469295990275,34286100,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-18,GOOG,284.7742004394531,-0.002240912771524,-0.0022434273739209,29702200,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-19,GOOG,292.7989501953125,0.0281793425930996,0.027789609592374,43123600,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-20,GOOG,289.7909545898437,-0.0102732458687516,-0.0103263798781796,34801400,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-21,GOOG,299.4546203613281,0.0333470234954778,0.0328030712792404,43670600,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-24,GOOG,318.2623596191406,0.0628066424058466,0.0609131847954008,55311800,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-25,GOOG,323.4289855957031,0.0162338580746568,0.0161034979403583,50899300,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-26,GOOG,320.0711669921875,-0.0103819346844595,-0.0104362029011813,29839600,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-11-28,GOOG,319.9112854003906,-0.0004995188829388,-0.0004996436840581,19695800,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-12-01,GOOG,314.9145202636719,-0.0156192212177352,-0.0157424864764032,28520600,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-12-02,GOOG,315.8139343261719,0.002856057770048,0.0028519869861425,24668200,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
2025-12-03,GOOG,320.41094970703125,0.0145560878770838,0.0144511649823005,32285100,2025-10-30,536469000000.0,149602000000.0,386867000000.0,102346000000.0,34979000000.0,31228000000.0,2.89,12077000000.0
