ticker,filed,Assets,CommonStockSharesOutstanding,EarningsPerShareBasic,Liabilities,NetIncomeLoss,OperatingIncomeLoss,Revenues,StockholdersEquity
GOOG,2022-10-26,358255000000.0,12971000000.0,1.07,104629000000.0,13910000000.0,17135000000.0,,253626000000.0
GOOG,2023-02-03,365264000000.0,12849000000.0,4.59,109120000000.0,59972000000.0,74842000000.0,,256144000000.0
GOOG,2023-04-26,369491000000.0,12722000000.0,1.18,108597000000.0,15051000000.0,17415000000.0,,260894000000.0
GOOG,2023-07-26,383044000000.0,12629000000.0,1.45,115903000000.0,18368000000.0,21838000000.0,,267141000000.0
GOOG,2023-10-25,396711000000.0,12541000000.0,1.56,123509000000.0,19689000000.0,21343000000.0,,273202000000.0
GOOG,2024-01-31,402392000000.0,12460000000.0,5.84,119013000000.0,73795000000.0,84293000000.0,,283379000000.0
GOOG,2024-04-26,407350000000.0,12381000000.0,1.91,114506000000.0,23662000000.0,25472000000.0,,292844000000.0
GOOG,2024-07-24,414770000000.0,12322000000.0,1.91,114017000000.0,23619000000.0,27425000000.0,,300753000000.0
GOOG,2024-10-30,430266000000.0,12264000000.0,2.14,116147000000.0,26301000000.0,28521000000.0,,314119000000.0
GOOG,2025-02-05,450256000000.0,12211000000.0,8.13,125172000000.0,100118000000.0,112390000000.0,,325084000000.0
GOOG,2025-04-25,475374000000.0,12155000000.0,2.84,130107000000.0,34540000000.0,30606000000.0,,345267000000.0
GOOG,2025-07-24,502053000000.0,12104000000.0,2.33,139137000000.0,28196000000.0,31271000000.0,96428000000.0,362916000000.0
GOOG,2025-10-30,536469000000.0,12077000000.0,2.89,149602000000.0,34979000000.0,31228000000.0,102346000000.0,386867000000.0
GOOG,2026-02-05,595281000000.0,12088000000.0,10.91,180016000000.0,132170000000.0,129039000000.0,402836000000.0,415265000000.0
MSFT,2009-10-23,81612000000.0,8900000000.0,0.4,,3574000000.0,4482000000.0,12920000000.0,41212000000.0
MSFT,2010-01-28,82096000000.0,8811000000.0,0.75,,6662000000.0,8513000000.0,19022000000.0,44283000000.0
MSFT,2010-04-22,84910000000.0,8762000000.0,0.46,,4006000000.0,5173000000.0,14503000000.0,45710000000.0
MSFT,2010-07-30,86113000000.0,8668000000.0,0.52,,4518000000.0,24098000000.0,16039000000.0,46175000000.0
MSFT,2010-10-28,91540000000.0,8562000000.0,0.63,44598000000.0,5410000000.0,7116000000.0,16195000000.0,46942000000.0
MSFT,2011-01-27,92306000000.0,8403000000.0,0.78,43825000000.0,6634000000.0,8165000000.0,19953000000.0,48481000000.0
MSFT,2011-04-28,99727000000.0,8431000000.0,0.62,46275000000.0,5232000000.0,5709000000.0,,53452000000.0
MSFT,2011-07-28,108704000000.0,8376000000.0,0.7,51621000000.0,5874000000.0,27161000000.0,,57083000000.0
MSFT,2011-10-20,107415000000.0,8410000000.0,0.68,48024000000.0,5738000000.0,7203000000.0,,59391000000.0
MSFT,2012-01-27,112243000000.0,8382000000.0,0.79,48122000000.0,6624000000.0,7994000000.0,,64121000000.0
MSFT,2012-04-19,118010000000.0,8400000000.0,0.61,49351000000.0,5108000000.0,6374000000.0,,68659000000.0
MSFT,2012-07-26,121271000000.0,8381000000.0,-0.06,54908000000.0,-492000000.0,21763000000.0,,66363000000.0
MSFT,2012-10-18,121876000000.0,8422000000.0,0.53,53040000000.0,4466000000.0,5308000000.0,,68836000000.0
MSFT,2013-01-24,128683000000.0,8374000000.0,0.76,56107000000.0,6377000000.0,7771000000.0,,72576000000.0
MSFT,2013-04-18,134105000000.0,8349000000.0,0.72,57417000000.0,6055000000.0,7612000000.0,,76688000000.0
MSFT,2013-07-30,142431000000.0,8328000000.0,0.59,63487000000.0,4965000000.0,26764000000.0,,78944000000.0
MSFT,2013-10-24,142348000000.0,8346000000.0,0.63,60707000000.0,5244000000.0,6334000000.0,,81641000000.0
MSFT,2014-01-23,153543000000.0,8300000000.0,0.79,68443000000.0,6558000000.0,7969000000.0,,85100000000.0
MSFT,2014-04-24,156119000000.0,8260000000.0,0.68,68695000000.0,5660000000.0,6974000000.0,,87424000000.0
MSFT,2014-07-31,172384000000.0,8239000000.0,0.56,82600000000.0,4612000000.0,27759000000.0,,89784000000.0
MSFT,2014-10-23,169656000000.0,8255000000.0,0.55,79486000000.0,4540000000.0,5844000000.0,,90170000000.0
MSFT,2015-01-26,174848000000.0,8218000000.0,0.71,82969000000.0,5863000000.0,7776000000.0,,91879000000.0
MSFT,2015-04-23,176683000000.0,8113000000.0,0.61,86551000000.0,4985000000.0,6594000000.0,,90132000000.0
MSFT,2015-07-31,176223000000.0,8027000000.0,-0.4,96140000000.0,-3195000000.0,18161000000.0,,80083000000.0
MSFT,2015-10-22,172896000000.0,7986000000.0,0.58,95451000000.0,4620000000.0,5793000000.0,,77445000000.0
MSFT,2016-01-28,180098000000.0,7925000000.0,0.63,103318000000.0,4998000000.0,6026000000.0,,76780000000.0
MSFT,2016-04-21,181869000000.0,7870000000.0,0.48,107063000000.0,3756000000.0,5283000000.0,,74806000000.0
MSFT,2016-07-28,193694000000.0,7808000000.0,0.4,121697000000.0,3122000000.0,3080000000.0,,71997000000.0
MSFT,2016-10-20,212524000000.0,7784000000.0,0.6,142152000000.0,4690000000.0,5225000000.0,,70372000000.0
MSFT,2017-01-26,224610000000.0,7730000000.0,0.67,155801000000.0,5200000000.0,6177000000.0,,68809000000.0
MSFT,2017-04-27,225017000000.0,7723000000.0,0.62,155288000000.0,4801000000.0,5594000000.0,,69729000000.0
MSFT,2017-08-02,241086000000.0,7708000000.0,0.84,168692000000.0,6513000000.0,5330000000.0,,72394000000.0
MSFT,2017-10-26,249097000000.0,7720000000.0,0.85,159450000000.0,6576000000.0,7708000000.0,,89647000000.0
MSFT,2018-01-31,256003000000.0,7705000000.0,-0.82,177643000000.0,-6302000000.0,8679000000.0,,78360000000.0
MSFT,2018-04-26,245497000000.0,7690000000.0,0.96,166258000000.0,7424000000.0,8292000000.0,,79239000000.0
MSFT,2018-08-03,258848000000.0,7677000000.0,1.15,176130000000.0,8873000000.0,10379000000.0,,82718000000.0
MSFT,2018-10-24,257619000000.0,7680000000.0,1.15,171652000000.0,8824000000.0,9955000000.0,,85967000000.0
MSFT,2019-01-30,258859000000.0,7683000000.0,1.09,166731000000.0,8420000000.0,10258000000.0,,92128000000.0
MSFT,2019-04-24,263281000000.0,7666000000.0,1.15,168417000000.0,8809000000.0,10341000000.0,,94864000000.0
MSFT,2019-08-01,286556000000.0,7643000000.0,1.72,184226000000.0,13187000000.0,12405000000.0,,102330000000.0
MSFT,2019-10-23,278955000000.0,7634000000.0,1.4,172894000000.0,10678000000.0,12686000000.0,,106061000000.0
MSFT,2020-01-29,282794000000.0,7611000000.0,1.53,172685000000.0,11649000000.0,13891000000.0,,110109000000.0
MSFT,2020-04-29,285449000000.0,7590000000.0,1.41,170948000000.0,10752000000.0,12975000000.0,,114501000000.0
MSFT,2020-07-30,301311000000.0,7571000000.0,1.48,183007000000.0,11202000000.0,13407000000.0,,118304000000.0
MSFT,2020-10-27,301001000000.0,7564000000.0,1.84,177609000000.0,13893000000.0,15876000000.0,,123392000000.0
MSFT,2021-01-26,304137000000.0,7546000000.0,2.05,173901000000.0,15463000000.0,17897000000.0,,130236000000.0
MSFT,2021-04-27,308879000000.0,7534000000.0,2.05,174374000000.0,15457000000.0,17048000000.0,,134505000000.0
MSFT,2021-07-29,333779000000.0,7519000000.0,8.12,191791000000.0,61271000000.0,69916000000.0,,141988000000.0
MSFT,2021-10-26,335418000000.0,7510000000.0,2.73,183440000000.0,20505000000.0,20238000000.0,,151978000000.0
MSFT,2022-01-25,340389000000.0,7500000000.0,2.5,180379000000.0,18765000000.0,22247000000.0,,160010000000.0
MSFT,2022-04-26,344607000000.0,7483000000.0,2.23,181683000000.0,16728000000.0,20364000000.0,,162924000000.0
MSFT,2022-07-28,364840000000.0,7464000000.0,9.7,198298000000.0,72738000000.0,83383000000.0,,166542000000.0
MSFT,2022-10-25,359784000000.0,7457000000.0,2.35,186218000000.0,17556000000.0,21518000000.0,,173566000000.0
MSFT,2023-01-24,364552000000.0,7447000000.0,2.2,181416000000.0,16425000000.0,20399000000.0,,183136000000.0
